▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,
o ,  ,  ,  ,  ,▉ ,  ,  ,  ,▉ ,  ,  ,  ,▉ ,▉ ,
▉ ,  ,▉ ,▉ ,  ,▉ ,  ,▉ ,  ,  ,  ,▉ ,  ,  ,▉ ,
▉ ,  ,▉ ,  ,  ,▉ ,  ,  ,▉ ,  ,▉ ,  ,▉ ,  ,▉ ,
▉ ,  ,▉ ,▉ ,▉ ,▉ ,▉ ,  ,▉ ,  ,  ,  ,▉ ,  ,▉ ,
▉ ,  ,  ,▉ ,  ,  ,▉ ,  ,▉ ,▉ ,  ,▉ ,  ,  ,▉ ,
▉ ,▉ ,  ,▉ ,  ,▉ ,  ,  ,  ,▉ ,▉ ,▉ ,  ,▉ ,▉ ,
▉ ,  ,  ,  ,  ,▉ ,  ,▉ ,  ,  ,▉ ,  ,  ,  ,▉ ,
▉ ,  ,▉ ,▉ ,▉ ,  ,  ,  ,▉ ,  ,▉ ,  ,▉ ,▉ ,▉ ,
▉ ,  ,  ,  ,  ,  ,▉ ,  ,  ,▉ ,  ,  ,  ,  ,▒ ,
▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ 
