▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,
o ,  ,▉ ,  ,  ,  ,▉ ,  ,▉ ,  ,  ,  ,▉ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,▒ ,
▉ ,  ,  ,  ,  ,▉ ,▉ ,  ,▉ ,▉ ,▉ ,  ,  ,  ,  ,▉ ,▉ ,  ,▉ ,▉ ,▉ ,  ,▉ ,
▉ ,▉ ,▉ ,▉ ,  ,▉ ,  ,  ,  ,  ,▉ ,  ,▉ ,▉ ,▉ ,▉ ,  ,  ,▉ ,  ,▉ ,▉ ,▉ ,
▉ ,  ,▉ ,  ,  ,▉ ,  ,  ,▉ ,  ,▉ ,  ,  ,  ,  ,▉ ,▉ ,  ,▉ ,  ,  ,  ,▉ ,
▉ ,  ,▉ ,▉ ,  ,▉ ,  ,▉ ,▉ ,▉ ,▉ ,  ,  ,▉ ,▉ ,▉ ,  ,  ,  ,  ,▉ ,  ,▉ ,
▉ ,  ,  ,  ,  ,  ,  ,▉ ,  ,  ,▉ ,▉ ,  ,▉ ,  ,  ,  ,▉ ,  ,▉ ,▉ ,▉ ,▉ ,
▉ ,▉ ,▉ ,  ,▉ ,▉ ,  ,  ,  ,▉ ,  ,  ,▉ ,▉ ,  ,▉ ,  ,▉ ,  ,  ,  ,  ,▉ ,
▉ ,  ,  ,  ,▉ ,  ,  ,▉ ,  ,▉ ,▉ ,  ,  ,▉ ,  ,  ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,
▉ ,▉ ,▉ ,  ,▉ ,  ,  ,▉ ,▉ ,▉ ,  ,  ,▉ ,▉ ,▉ ,  ,  ,  ,  ,  ,▉ ,  ,▉ ,
▉ ,  ,▉ ,▉ ,▉ ,  ,▉ ,▉ ,  ,▉ ,▉ ,  ,  ,  ,▉ ,▉ ,  ,▉ ,▉ ,▉ ,▉ ,  ,▉ ,
▉ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,▉ ,  ,▉ ,  ,  ,▉ ,  ,  ,  ,  ,  ,  ,▉ ,
▉ ,▉ ,  ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,  ,  ,  ,▉ ,  ,▉ ,▉ ,▉ ,▉ ,▉ ,  ,▉ ,  ,▉ ,
▉ ,  ,  ,▉ ,  ,  ,  ,  ,▉ ,  ,▉ ,▉ ,▉ ,  ,  ,  ,  ,  ,▉ ,  ,▉ ,▉ ,▉ ,
▉ ,  ,▉ ,▉ ,▉ ,▉ ,▉ ,  ,  ,  ,  ,  ,  ,▉ ,▉ ,  ,▉ ,  ,  ,  ,  ,  ,▉ ,
▉ ,▉ ,  ,▉ ,  ,  ,▉ ,▉ ,▉ ,▉ ,  ,▉ ,  ,  ,▉ ,▉ ,▉ ,  ,▉ ,  ,▉ ,  ,▉ ,
▉ ,  ,  ,  ,▉ ,  ,▉ ,  ,▉ ,  ,  ,▉ ,▉ ,  ,  ,  ,  ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,
▉ ,  ,▉ ,  ,  ,  ,  ,  ,  ,  ,  ,▉ ,  ,  ,  ,▉ ,  ,  ,  ,  ,  ,  ,▉ ,
▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉ ,▉
